time,alt,MN,TRA,Wf,Fn,Nf,Nc,epr,phi,NfR,NcR,BPR,farB,htBleed
17.085,0,0.058493,23.397,2.2047,26677,1544.7,8005.3,1.0764,33.792,1544.1,7645.6,9.6031,0.016446,307.86
18.09,0,0.061935,24.774,2.2702,27370,1566.6,8029.3,1.0785,34.079,1566,7658.4,9.5906,0.01666,309.68
19.095,0,0.065377,26.151,2.3359,28060,1588.5,8053.2,1.0805,34.363,1587.8,7670.8,9.5821,0.01687,311.49
20.1,0,0.068818,27.527,2.4103,28842,1609.5,8078,1.0829,34.706,1608.8,7684,9.5743,0.017121,313.4
21.105,0,0.07226,28.904,2.4923,29697,1631.3,8105.6,1.0857,35.055,1630.5,7699.6,9.5575,0.017382,315.48
22.11,0,0.075702,30.281,2.5724,30564,1653.5,8133.2,1.0884,35.364,1652.5,7714.8,9.5417,0.017617,317.53
23.115,0,0.079144,31.658,2.6457,31334,1673.6,8157.7,1.0908,35.648,1672.6,7727.9,9.5316,0.017832,319.34
24.12,0,0.082586,33.034,2.7223,32087,1693.4,8181.9,1.0933,35.951,1692.2,7741,9.5148,0.018062,321.16
25.125,0,0.086027,34.411,2.7994,32839,1713.1,8205.9,1.0959,36.25,1711.8,7753.8,9.4976,0.018289,322.95
26.13,0,0.089469,35.788,2.8773,33590,1732.8,8229.8,1.0985,36.544,1731.4,7766.5,9.4792,0.018514,324.72
27.135,0,0.092911,37.164,2.9556,34339,1752.5,8253.4,1.1012,36.831,1751,7778.8,9.4601,0.018735,326.48
28.14,0,0.096353,38.541,3.0345,35083,1772.1,8276.8,1.1039,37.114,1770.4,7791,9.44,0.018954,328.21
29.145,0,0.099795,39.918,3.1142,35825,1791.7,8300,1.1066,37.394,1789.9,7802.8,9.4195,0.019172,329.93
30.15,0,0.10324,41.295,3.1818,36487,1809.8,8320.7,1.1089,37.602,1807.8,7812.7,9.4078,0.019338,331.44
31.155,0,0.10668,42.671,3.2537,37106,1826.8,8340.9,1.1113,37.846,1824.7,7822.2,9.3871,0.019529,332.95
32.16,0,0.11012,44.048,3.3258,37733,1844,8361.3,1.1138,38.08,1841.7,7831.7,9.3665,0.019715,334.46
33.165,0,0.11356,45.425,3.3986,38370,1861.1,8381.6,1.1163,38.311,1858.7,7840.9,9.3469,0.019898,335.96
34.17,0,0.117,46.801,3.4856,39166,1877.3,8403.6,1.1194,38.604,1874.7,7852,9.3255,0.020128,337.6
35.175,0,0.12045,48.178,3.5765,40022,1894.5,8427.4,1.1227,38.881,1891.7,7864.2,9.3019,0.020349,339.34
36.18,0,0.12389,49.555,3.6692,40869,1911.6,8450,1.1259,39.183,1908.7,7875,9.2855,0.02059,341.21
37.185,0,0.12733,50.932,3.7555,41679,1928.2,8471.4,1.129,39.441,1925.1,7885,9.272,0.0208,342.97
38.19,0,0.13077,52.308,3.839,42405,1943.3,8491,1.1319,39.703,1940,7893.9,9.2571,0.021012,344.6
39.195,0,0.13421,53.685,3.924,43134,1958.5,8510.6,1.1349,39.965,1954.9,7902.9,9.2408,0.021224,346.22
40.2,0,0.13765,55.062,4.0096,43862,1973.6,8530,1.1379,40.223,1969.9,7911.7,9.2241,0.021435,347.84
41.205,0,0.1411,56.438,4.0959,44589,1988.8,8549.4,1.141,40.478,1984.8,7920.4,9.2068,0.021644,349.45
42.21,0,0.14454,57.815,4.1838,45314,2003.9,8568.6,1.1442,40.738,1999.7,7928.9,9.1889,0.021856,351.05
43.215,0,0.14798,59.192,4.2736,46042,2019,8587.9,1.1474,41,2014.6,7937.3,9.17,0.022071,352.66
44.22,0,0.15142,60.568,4.3625,46766,2034.1,8606.9,1.1506,41.249,2029.5,7945.5,9.1515,0.022278,354.24
45.225,0,0.15486,61.945,4.4495,47456,2048.7,8625.1,1.1538,41.492,2043.8,7953.2,9.1339,0.02248,355.76
46.23,0,0.1583,63.322,4.538,48143,2063.2,8643.3,1.157,41.736,2058.1,7961,9.1147,0.022683,357.28
47.235,0,0.16175,64.699,4.6265,48816,2077.8,8661.4,1.1602,41.976,2072.4,7968.5,9.0946,0.022884,358.79
48.24,0,0.16519,66.075,4.7155,49489,2092.4,8679.4,1.1635,42.213,2086.7,7975.8,9.0748,0.023083,360.29
49.245,0,0.16863,67.452,4.8056,50163,2106.9,8697.4,1.1669,42.446,2101,7982.6,9.0528,0.02328,361.8
50.25,0,0.17207,68.829,4.8964,50838,2121.5,8715.4,1.1703,42.675,2115.3,7989.2,9.0315,0.023475,363.31
51.255,0,0.17551,70.205,4.9886,51553,2135.9,8733.4,1.1739,42.9,2129.3,7995.8,9.0109,0.023668,364.81
52.26,0,0.17896,71.582,5.0767,52246,2149.1,8750.3,1.1772,43.107,2142.2,8002,8.9938,0.023845,366.22
53.265,0,0.1824,72.959,5.1672,52931,2162.1,8767.2,1.1807,43.322,2154.9,8008.4,8.9745,0.02403,367.63
54.27,0,0.18584,74.336,5.2587,53620,2175.1,8784,1.1843,43.536,2167.6,8014.6,8.955,0.024214,369.04
55.275,0,0.18928,75.712,5.351,54311,2188.2,8800.8,1.1879,43.748,2180.4,8020.8,8.9352,0.024397,370.44
56.28,0,0.19272,77.089,5.4442,55001,2201.2,8817.4,1.1915,43.962,2193.1,8026.7,8.9156,0.024581,371.84
57.285,0,0.19616,78.466,5.5386,55693,2214.3,8834,1.1953,44.175,2205.8,8032.6,8.8956,0.024766,373.23
58.29,0,0.19961,79.842,5.634,56388,2227.4,8850.5,1.1991,44.387,2218.6,8038.4,8.8752,0.02495,374.62
59.295,0,0.20305,81.219,5.7232,57035,2239.9,8866.3,1.2027,44.574,2230.8,8043.7,8.8571,0.025115,375.94
60.3,0,0.20649,82.596,5.8128,57649,2251.9,8881.4,1.2062,44.769,2242.4,8048.9,8.838,0.025285,377.21
61.305,0,0.20993,83.973,5.9034,58268,2264,8896.6,1.2099,44.962,2254,8054.1,8.8185,0.025455,378.5
62.31,0,0.21337,85.349,6.0007,58957,2275.6,8912.3,1.2139,45.173,2265.3,8059.7,8.799,0.025639,379.82
63.315,0,0.21682,86.726,6.1039,59696,2287.6,8928.8,1.2183,45.389,2276.9,8065.9,8.7773,0.025829,381.21
64.32,0,0.22026,88.103,6.2076,60440,2299.7,8945.4,1.2227,45.6,2288.6,8071.9,8.7553,0.026016,382.6
65.325,0,0.2237,89.479,6.3126,61182,2311.7,8962.3,1.2272,45.814,2300.2,8078.3,8.7336,0.026206,384
66.33,0,0.22714,90.856,6.4148,61908,2323.6,8978.8,1.2316,46.012,2311.7,8084.4,8.7132,0.026383,385.36
67.335,0,0.23058,92.233,6.5149,62592,2334.9,8994.6,1.2359,46.209,2322.6,8090.2,8.6932,0.026558,386.66
68.34,0,0.23402,93.61,6.6164,63280,2346.2,9010.4,1.2403,46.405,2333.5,8095.9,8.6727,0.026735,387.96
69.345,0,0.23747,94.986,6.7188,63970,2357.6,9026.2,1.2447,46.601,2344.4,8101.6,8.6521,0.02691,389.26
70.35,0,0.24091,96.363,6.8224,64604,2368.8,9034.8,1.2474,46.932,2355.2,8099.1,8.6775,0.027176,390.19
71.355,0,0.24435,97.74,6.9484,65472,2381.4,9060.2,1.2553,47.045,2367.3,8114.7,8.5975,0.027312,392.09
72.36,0,0.24779,99.116,7.0296,66056,2391.8,9073.1,1.2584,47.174,2377.3,8117.9,8.5909,0.027428,393.15
73.365,0,0.25,100,7.1081,66734,2402.3,9087,1.2624,47.264,2387.4,8122.5,8.5738,0.027521,394.25
74.37,0,0.25,100,7.0954,66757,2403,9086.4,1.2617,47.211,2388.2,8120.9,8.5835,0.027476,394.19
75.375,0,0.25,100,7.0961,66747,2402.9,9086.3,1.2617,47.217,2388,8121,8.5826,0.027481,394.18
76.38,0,0.25,100,7.0961,66749,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
77.385,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
78.39,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
79.395,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
80.4,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
81.405,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
82.41,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
83.415,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
84.42,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
85.425,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
86.43,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
87.435,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
88.44,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
89.445,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
90.45,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
91.455,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
92.46,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
93.465,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
94.47,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
95.475,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
96.48,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
97.485,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
98.49,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
99.495,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
100.5,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
101.5,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
102.51,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
103.52,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
104.52,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
105.52,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
106.53,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
107.53,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
108.54,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
109.55,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
110.55,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
111.55,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
112.56,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
113.56,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
114.57,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
115.57,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
116.58,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
117.58,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
118.59,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
119.59,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
120.6,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
121.6,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
122.61,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
123.61,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
124.62,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
125.62,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
126.63,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
127.63,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
128.64,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
129.64,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
130.65,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
131.66,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
132.66,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
133.66,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
134.67,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
135.67,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
136.68,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
137.69,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
138.69,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
139.69,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
140.7,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
141.7,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
142.71,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
143.72,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
144.72,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
145.72,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
146.73,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
147.73,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
148.74,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
149.75,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
150.75,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
151.75,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
152.76,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
153.76,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
154.77,0,0.25,100,7.0961,66748,2402.9,9086.3,1.2617,47.216,2388,8121,8.5827,0.02748,394.19
155.78,4.7531,0.24881,100,7.0932,66815,2402.9,9086.1,1.2621,47.213,2388.2,8121.2,8.5808,0.027477,394.16
156.78,10.957,0.24726,100,7.0882,66886,2402.6,9085.5,1.2626,47.21,2388.2,8121.4,8.5788,0.027474,394.1
157.78,17.16,0.24571,100,7.0834,66957,2402.4,9084.9,1.263,47.207,2388.2,8121.6,8.5766,0.027471,394.05
158.79,23.364,0.24416,100,7.0787,67029,2402.2,9084.3,1.2634,47.205,2388.2,8121.8,8.5745,0.027468,394
159.79,29.568,0.24261,100,7.074,67101,2401.9,9083.7,1.2639,47.202,2388.2,8122,8.5724,0.027465,393.94
160.8,35.772,0.24106,100,7.0693,67174,2401.7,9083.1,1.2643,47.2,2388.2,8122.2,8.5703,0.027462,393.89
161.81,41.975,0.23951,100,7.0646,67247,2401.5,9082.5,1.2647,47.197,2388.2,8122.4,8.5682,0.027459,393.84
162.81,48.179,0.23796,100,7.0599,67320,2401.3,9081.9,1.2651,47.195,2388.2,8122.6,8.5662,0.027456,393.78
163.81,54.383,0.2364,100,7.0553,67394,2401,9081.3,1.2656,47.192,2388.2,8122.8,8.5641,0.027454,393.73
164.82,60.586,0.23485,100,7.0508,67468,2400.8,9080.7,1.266,47.19,2388.2,8123,8.562,0.027451,393.68
165.82,66.79,0.2333,100,7.0462,67543,2400.6,9080.1,1.2664,47.188,2388.2,8123.2,8.56,0.027448,393.63
166.83,72.994,0.23175,100,7.0417,67618,2400.4,9079.5,1.2668,47.186,2388.2,8123.4,8.5579,0.027446,393.58
167.84,79.198,0.2302,100,7.0372,67693,2400.1,9078.9,1.2672,47.183,2388.2,8123.6,8.5559,0.027443,393.52
168.84,85.401,0.22865,100,7.0327,67769,2399.9,9078.4,1.2677,47.181,2388.2,8123.7,8.5539,0.02744,393.47
169.84,91.605,0.2271,100,7.0282,67845,2399.7,9077.8,1.2681,47.179,2388.2,8123.9,8.5519,0.027438,393.42
170.85,97.809,0.22555,100,7.0238,67922,2399.5,9077.2,1.2685,47.176,2388.2,8124.1,8.5499,0.027435,393.37
171.85,104.01,0.224,100,7.0194,67998,2399.3,9076.6,1.2689,47.174,2388.2,8124.3,8.5479,0.027432,393.32
172.86,110.22,0.22245,100,7.015,68076,2399,9076.1,1.2693,47.172,2388.2,8124.5,8.5459,0.02743,393.27
173.86,116.42,0.2209,100,7.0106,68153,2398.8,9075.5,1.2697,47.17,2388.2,8124.7,8.5439,0.027427,393.22
174.87,122.62,0.21934,100,7.0063,68232,2398.6,9074.9,1.2701,47.168,2388.2,8124.8,8.542,0.027425,393.17
175.88,128.83,0.21779,100,7.0019,68310,2398.4,9074.4,1.2705,47.165,2388.2,8125,8.54,0.027422,393.12
176.88,135.03,0.21624,100,6.9976,68389,2398.2,9073.8,1.2709,47.163,2388.2,8125.2,8.5381,0.027419,393.08
177.88,141.23,0.21469,100,6.9933,68468,2398,9073.3,1.2713,47.161,2388.2,8125.4,8.5361,0.027417,393.03
178.89,147.44,0.21314,100,6.9891,68548,2397.8,9072.7,1.2717,47.159,2388.2,8125.5,8.5342,0.027414,392.98
179.89,153.64,0.21159,100,6.9848,68628,2397.6,9072.2,1.272,47.157,2388.2,8125.7,8.5323,0.027412,392.93
180.9,159.85,0.21004,100,6.9806,68708,2397.3,9071.7,1.2724,47.155,2388.2,8125.9,8.5304,0.027409,392.88
181.91,166.05,0.20849,100,6.9764,68789,2397.1,9071.1,1.2728,47.152,2388.2,8126.1,8.5285,0.027407,392.83
182.91,172.25,0.20694,100,6.9722,68870,2396.9,9070.6,1.2732,47.15,2388.2,8126.2,8.5266,0.027404,392.79
183.91,178.46,0.20539,100,6.9681,68952,2396.7,9070,1.2736,47.148,2388.2,8126.4,8.5247,0.027402,392.74
184.92,184.66,0.20383,100,6.964,69034,2396.5,9069.5,1.2739,47.146,2388.2,8126.6,8.5229,0.027399,392.69
185.92,190.86,0.20228,100,6.9599,69117,2396.3,9069,1.2743,47.144,2388.1,8126.8,8.521,0.027397,392.65
186.93,197.07,0.20073,100,6.9558,69200,2396.1,9068.5,1.2747,47.142,2388.1,8126.9,8.5192,0.027394,392.6
187.94,203.27,0.19918,100,6.9517,69282,2395.9,9067.9,1.2751,47.14,2388.1,8127.1,8.5173,0.027392,392.56
188.94,209.48,0.19763,100,6.9476,69363,2395.7,9067.4,1.2754,47.138,2388.2,8127.3,8.5154,0.02739,392.51
189.94,215.68,0.19608,100,6.9435,69444,2395.5,9066.9,1.2758,47.136,2388.1,8127.4,8.5135,0.027388,392.47
190.95,221.88,0.19453,100,6.9394,69526,2395.3,9066.4,1.2762,47.134,2388.1,8127.6,8.5117,0.027385,392.42
191.95,228.09,0.19298,100,6.9354,69608,2395.1,9065.9,1.2766,47.132,2388.1,8127.8,8.5098,0.027383,392.38
192.96,234.29,0.19143,100,6.9314,69691,2395,9065.4,1.2769,47.13,2388.1,8127.9,8.508,0.027381,392.33
193.97,240.49,0.18988,100,6.9274,69774,2394.8,9064.9,1.2773,47.128,2388.1,8128.1,8.5061,0.027378,392.29
194.97,246.7,0.18833,100,6.9234,69857,2394.6,9064.4,1.2776,47.127,2388.1,8128.3,8.5043,0.027376,392.25
195.97,252.9,0.18677,100,6.9194,69941,2394.4,9063.9,1.278,47.125,2388.1,8128.4,8.5025,0.027374,392.2
196.98,259.1,0.18522,100,6.9155,70025,2394.2,9063.5,1.2784,47.123,2388.1,8128.6,8.5007,0.027372,392.16
197.98,265.31,0.18367,100,6.9116,70110,2394,9063,1.2787,47.121,2388.1,8128.7,8.4989,0.02737,392.12
198.99,271.51,0.18212,100,6.9077,70195,2393.8,9062.5,1.2791,47.119,2388.1,8128.9,8.4971,0.027367,392.07
200,277.72,0.18057,100,6.9038,70281,2393.6,9062,1.2794,47.117,2388.1,8129.1,8.4954,0.027365,392.03
201,283.92,0.17902,100,6.8999,70366,2393.4,9061.5,1.2798,47.115,2388.1,8129.2,8.4936,0.027363,391.99
202,290.12,0.17747,100,6.8961,70453,2393.3,9061.1,1.2801,47.114,2388.1,8129.4,8.4919,0.027361,391.95
203.01,296.33,0.17592,100,6.8923,70540,2393.1,9060.6,1.2805,47.112,2388.1,8129.5,8.4901,0.027359,391.91
204.01,302.53,0.17437,100,6.8885,70627,2392.9,9060.1,1.2808,47.11,2388.1,8129.7,8.4884,0.027357,391.86
205.02,308.73,0.17282,100,6.8847,70714,2392.7,9059.7,1.2811,47.108,2388.1,8129.8,8.4867,0.027354,391.82
206.03,314.94,0.17127,100,6.881,70802,2392.5,9059.2,1.2815,47.106,2388.1,8130,8.485,0.027352,391.78
207.03,321.14,0.16971,100,6.8772,70891,2392.4,9058.7,1.2818,47.105,2388.1,8130.1,8.4833,0.02735,391.74
208.03,327.35,0.16816,100,6.8735,70980,2392.2,9058.3,1.2821,47.103,2388.1,8130.3,8.4816,0.027348,391.7
209.04,333.55,0.16661,100,6.8698,71069,2392,9057.8,1.2824,47.101,2388.1,8130.4,8.48,0.027346,391.66
210.04,339.75,0.16506,100,6.8662,71159,2391.8,9057.4,1.2828,47.099,2388.1,8130.6,8.4783,0.027344,391.62
211.05,345.96,0.16351,100,6.8625,71249,2391.7,9056.9,1.2831,47.097,2388.1,8130.7,8.4767,0.027342,391.58
212.05,352.16,0.16196,100,6.8589,71340,2391.5,9056.5,1.2834,47.096,2388.1,8130.9,8.4751,0.02734,391.54
213.06,358.36,0.16041,100,6.8553,71431,2391.3,9056,1.2837,47.094,2388.1,8131,8.4735,0.027338,391.5
214.06,364.57,0.15886,100,6.8517,71522,2391.1,9055.6,1.284,47.092,2388.1,8131.2,8.4719,0.027336,391.47
215.07,370.77,0.15731,100,6.8481,71614,2391,9055.2,1.2843,47.091,2388.1,8131.3,8.4703,0.027334,391.43
216.07,376.98,0.15576,100,6.8446,71706,2390.8,9054.7,1.2846,47.089,2388.1,8131.5,8.4687,0.027332,391.39
217.08,383.18,0.15421,100,6.841,71799,2390.6,9054.3,1.285,47.087,2388.1,8131.6,8.4671,0.02733,391.35
218.08,389.38,0.15265,100,6.8375,71892,2390.5,9053.9,1.2853,47.085,2388.1,8131.7,8.4656,0.027328,391.31
219.09,395.59,0.1511,100,6.834,71986,2390.3,9053.5,1.2856,47.084,2388.1,8131.9,8.4641,0.027326,391.27
220.09,401.79,0.14955,100,6.8306,72080,2390.2,9053,1.2858,47.082,2388.1,8132,8.4625,0.027324,391.24
221.1,407.99,0.148,100,6.8271,72174,2390,9052.6,1.2861,47.08,2388.1,8132.1,8.461,0.027322,391.2
